diseases,symptoms
Charcot-Marie-Tooth disease,Numbness
Multiple sclerosis,Tingling sensation
Guillain-Barre syndrome,Tingling sensation
Charcot-Marie-Tooth disease,Tingling sensation
Multiple sclerosis,Bladder dysfunction
Guillain-Barre syndrome,Bladder dysfunction
Charcot-Marie-Tooth disease,Bladder dysfunction
Vertigo,Balance problems
Cerebellar ataxia,Balance problems
Huntington's disease,Balance problems
Vertigo,Dizziness
Cerebellar ataxia,Dizziness
Huntington's disease,Dizziness
Vertigo,Slurred speech
Cerebellar ataxia,Slurred speech
Huntington's disease,Slurred speech
Amyotrophic lateral sclerosis,Difficulty swallowing
Myasthenia gravis,Difficulty swallowing
Muscular dystrophy,Difficulty swallowing
Amyotrophic lateral sclerosis,Muscle cramps
Myasthenia gravis,Muscle cramps
Muscular dystrophy,Muscle cramps
Amyotrophic lateral sclerosis,Fatigue
Myasthenia gravis,Fatigue
Muscular dystrophy,Fatigue
Rheumatoid Arthritis,Fever
Systemic Lupus Erythematosus,Fever
Psoriasis,Fever
Rheumatoid Arthritis,Joint Pain
Systemic Lupus Erythematosus,Joint Pain
Psoriasis,Joint Pain
Rheumatoid Arthritis,Skin Rash
Systemic Lupus Erythematosus,Skin Rash
Psoriasis,Skin Rash
Crohn's Disease,Abdominal Pain
Ulcerative Colitis,Abdominal Pain
Celiac Disease,Abdominal Pain
Crohn's Disease,Diarrhea
Ulcerative Colitis,Diarrhea
Celiac Disease,Diarrhea
Crohn's Disease,Weight Loss
Ulcerative Colitis,Weight Loss
Celiac Disease,Weight Loss
Polymyositis,Muscle Weakness
Dermatomyositis,Muscle Weakness
Inclusion Body Myositis,Muscle Weakness
Polymyositis,Fatigue
Dermatomyositis,Fatigue
Inclusion Body Myositis,Fatigue
Polymyositis,Difficulty Swallowing
Dermatomyositis,Difficulty Swallowing
Inclusion Body Myositis,Difficulty Swallowing
Behcet's Disease,Fever
Familial Mediterranean Fever,Fever
Reactive Arthritis,Fever
Behcet's Disease,Joint Swelling
Familial Mediterranean Fever,Joint Swelling
Reactive Arthritis,Joint Swelling
Behcet's Disease,Eye Pain
Familial Mediterranean Fever,Eye Pain
Reactive Arthritis,Eye Pain
Kawasaki Disease,Fever
Juvenile Idiopathic Arthritis,Fever
Muckle-Wells Syndrome,Fever
Kawasaki Disease,Rash
Juvenile Idiopathic Arthritis,Rash
Muckle-Wells Syndrome,Rash
Kawasaki Disease,Headache
Juvenile Idiopathic Arthritis,Headache
Muckle-Wells Syndrome,Headache
Stroke,Headache
Migraine,Headache
Aneurysm,Headache
Temporal Arteritis,Headache
Transient Ischemic Attack,Headache
Stroke,Dizziness
Migraine,Dizziness
Aneurysm,Dizziness
Temporal Arteritis,Dizziness
Transient Ischemic Attack,Dizziness
Stroke,Numbness
Migraine,Numbness
Aneurysm,Numbness
Temporal Arteritis,Numbness
Transient Ischemic Attack,Numbness
Stroke,Vision Changes
Migraine,Vision Changes
Aneurysm,Vision Changes
Temporal Arteritis,Vision Changes
Transient Ischemic Attack,Vision Changes
Stroke,Difficulty Speaking
Migraine,Difficulty Speaking
Aneurysm,Difficulty Speaking
Temporal Arteritis,Difficulty Speaking
Transient Ischemic Attack,Difficulty Speaking
Peripheral Artery Disease,Leg Pain
Deep Vein Thrombosis,Leg Pain
Venous Insufficiency,Leg Pain
Atherosclerosis,Leg Pain
Varicose Veins,Leg Pain
Peripheral Artery Disease,Swelling
Deep Vein Thrombosis,Swelling
Venous Insufficiency,Swelling
Atherosclerosis,Swelling
Varicose Veins,Swelling
Peripheral Artery Disease,Weakness
Deep Vein Thrombosis,Weakness
Venous Insufficiency,Weakness
Atherosclerosis,Weakness
Varicose Veins,Weakness
Peripheral Artery Disease,Cramping
Deep Vein Thrombosis,Cramping
Venous Insufficiency,Cramping
Atherosclerosis,Cramping
Varicose Veins,Cramping
Peripheral Artery Disease,Discoloration
Deep Vein Thrombosis,Discoloration
Venous Insufficiency,Discoloration
Atherosclerosis,Discoloration
Varicose Veins,Discoloration
Angina,Chest Tightness
Heart Attack,Chest Tightness
Heart Failure,Chest Tightness
Atrial Fibrillation,Chest Tightness
Cardiomyopathy,Chest Tightness
Angina,Irregular Heartbeat
Heart Attack,Irregular Heartbeat
Heart Failure,Irregular Heartbeat
Atrial Fibrillation,Irregular Heartbeat
Cardiomyopathy,Irregular Heartbeat
Angina,Shortness of Breath
Heart Attack,Shortness of Breath
Heart Failure,Shortness of Breath
Atrial Fibrillation,Shortness of Breath
Cardiomyopathy,Shortness of Breath
Angina,Nausea
Heart Attack,Nausea
Heart Failure,Nausea
Atrial Fibrillation,Nausea
Cardiomyopathy,Nausea
Angina,Fatigue
Heart Attack,Fatigue
Heart Failure,Fatigue
Atrial Fibrillation,Fatigue
Cardiomyopathy,Fatigue
Gastritis,Abdominal Pain
Peptic Ulcer,Abdominal Pain
Gastroenteritis,Abdominal Pain
Diverticulitis,Abdominal Pain
Irritable Bowel Syndrome,Abdominal Pain
Gastritis,Nausea
Peptic Ulcer,Nausea
Gastroenteritis,Nausea
Diverticulitis,Nausea
Irritable Bowel Syndrome,Nausea
Gastritis,Vomiting
Peptic Ulcer,Vomiting
Gastroenteritis,Vomiting
Diverticulitis,Vomiting
Irritable Bowel Syndrome,Vomiting
Gastritis,Bloating
Peptic Ulcer,Bloating
Gastroenteritis,Bloating
Diverticulitis,Bloating
Irritable Bowel Syndrome,Bloating
Gastritis,Diarrhea
Peptic Ulcer,Diarrhea
Gastroenteritis,Diarrhea
Diverticulitis,Diarrhea
Irritable Bowel Syndrome,Diarrhea
Hypertension,Headache
Atherosclerosis,Headache
Carotid Artery Disease,Headache
Intracranial Hemorrhage,Headache
Cerebral Aneurysm,Headache
Hypertension,Nausea
Atherosclerosis,Nausea
Carotid Artery Disease,Nausea
Intracranial Hemorrhage,Nausea
Cerebral Aneurysm,Nausea
Hypertension,Blurred Vision
Atherosclerosis,Blurred Vision
Carotid Artery Disease,Blurred Vision
Intracranial Hemorrhage,Blurred Vision
Cerebral Aneurysm,Blurred Vision
Hypertension,Fatigue
Atherosclerosis,Fatigue
Carotid Artery Disease,Fatigue
Intracranial Hemorrhage,Fatigue
Cerebral Aneurysm,Fatigue
Hypertension,Confusion
Atherosclerosis,Confusion
Carotid Artery Disease,Confusion
Intracranial Hemorrhage,Confusion
Cerebral Aneurysm,Confusion
Gastroenteritis,Abdominal pain
Food poisoning,Abdominal pain
Crohn's disease,Abdominal pain
Appendicitis,Abdominal pain
Gastroenteritis,Nausea
Food poisoning,Nausea
Crohn's disease,Nausea
Appendicitis,Nausea
Gastroenteritis,Vomiting
Food poisoning,Vomiting
Crohn's disease,Vomiting
Appendicitis,Vomiting
Gastroenteritis,Diarrhea
Food poisoning,Diarrhea
Crohn's disease,Diarrhea
Appendicitis,Diarrhea
Gastritis,Heartburn
Irritable bowel syndrome,Heartburn
Diverticulitis,Heartburn
Gastroparesis,Heartburn
Gastritis,Bloating
Irritable bowel syndrome,Bloating
Diverticulitis,Bloating
Gastroparesis,Bloating
Gastritis,Constipation
Irritable bowel syndrome,Constipation
Diverticulitis,Constipation
Gastroparesis,Constipation
Colorectal cancer,Rectal bleeding
Inflammatory bowel disease,Rectal bleeding
Irritable bowel syndrome,Rectal bleeding
Celiac disease,Rectal bleeding
Colorectal cancer,Changes in bowel habits
Inflammatory bowel disease,Changes in bowel habits
Irritable bowel syndrome,Changes in bowel habits
Celiac disease,Changes in bowel habits
Colorectal cancer,Abdominal bloating
Inflammatory bowel disease,Abdominal bloating
Irritable bowel syndrome,Abdominal bloating
Celiac disease,Abdominal bloating
Gastric cancer,Loss of appetite
Peptic ulcer disease,Loss of appetite
Pancreatitis,Loss of appetite
Gallstones,Loss of appetite
Gastric cancer,Unintentional weight loss
Peptic ulcer disease,Unintentional weight loss
Pancreatitis,Unintentional weight loss
Gallstones,Unintentional weight loss
Gastric cancer,Abdominal discomfort
Peptic ulcer disease,Abdominal discomfort
Pancreatitis,Abdominal discomfort
Gallstones,Abdominal discomfort
Esophageal cancer,Difficulty swallowing
GERD,Difficulty swallowing
Gastritis,Difficulty swallowing
Pancreatic cancer,Difficulty swallowing
Esophageal cancer,Persistent indigestion
GERD,Persistent indigestion
Gastritis,Persistent indigestion
Pancreatic cancer,Persistent indigestion
Esophageal cancer,Abdominal pain after eating
GERD,Abdominal pain after eating
Gastritis,Abdominal pain after eating
Pancreatic cancer,Abdominal pain after eating
Lupus,Fever
Rheumatoid arthritis,Fever
Multiple sclerosis,Fever
Lupus,Skin rash
Rheumatoid arthritis,Skin rash
Multiple sclerosis,Skin rash
Lupus,Joint pain
Rheumatoid arthritis,Joint pain
Multiple sclerosis,Joint pain
Crohn's disease,Abdominal pain
Ulcerative colitis,Abdominal pain
Celiac disease,Abdominal pain
Crohn's disease,Diarrhea
Ulcerative colitis,Diarrhea
Celiac disease,Diarrhea
Crohn's disease,Weight loss
Ulcerative colitis,Weight loss
Celiac disease,Weight loss
Chronic fatigue syndrome,Nausea
Fibromyalgia,Nausea
Hashimoto's thyroiditis,Nausea
Chronic fatigue syndrome,Vomiting
Fibromyalgia,Vomiting
Hashimoto's thyroiditis,Vomiting
Chronic fatigue syndrome,Fatigue
Fibromyalgia,Fatigue
Hashimoto's thyroiditis,Fatigue
HIV/AIDS,Swollen lymph nodes
Hodgkin's lymphoma,Swollen lymph nodes
Tuberculosis,Swollen lymph nodes
HIV/AIDS,Night sweats
Hodgkin's lymphoma,Night sweats
Tuberculosis,Night sweats
HIV/AIDS,Loss of appetite
Hodgkin's lymphoma,Loss of appetite
Tuberculosis,Loss of appetite
Asthma,Shortness of breath
Chronic obstructive pulmonary disease (COPD),Shortness of breath
Allergic rhinitis,Shortness of breath
Asthma,Wheezing
Chronic obstructive pulmonary disease (COPD),Wheezing
Allergic rhinitis,Wheezing
Asthma,Chest tightness
Chronic obstructive pulmonary disease (COPD),Chest tightness
Allergic rhinitis,Chest tightness
Osteoarthritis,Joint pain
Rheumatoid Arthritis,Joint pain
Gout,Joint pain
Osteoarthritis,Swelling
Rheumatoid Arthritis,Swelling
Gout,Swelling
Osteoarthritis,Stiffness
Rheumatoid Arthritis,Stiffness
Gout,Stiffness
Osteoporosis,Bone Fracture
Osteogenesis Imperfecta,Bone Fracture
Paget's Disease,Bone Fracture
Osteoporosis,Limited Mobility
Osteogenesis Imperfecta,Limited Mobility
Paget's Disease,Limited Mobility
Osteoporosis,Bone Deformity
Osteogenesis Imperfecta,Bone Deformity
Paget's Disease,Bone Deformity
Osteomalacia,Back Pain
Multiple Myeloma,Back Pain
Spinal Stenosis,Back Pain
Osteomalacia,Muscle Weakness
Multiple Myeloma,Muscle Weakness
Spinal Stenosis,Muscle Weakness
Osteomalacia,Numbness
Multiple Myeloma,Numbness
Spinal Stenosis,Numbness
Osteomyelitis,Bone Tenderness
Bone Cancer,Bone Tenderness
Osteonecrosis,Bone Tenderness
Osteomyelitis,Bone Loss
Bone Cancer,Bone Loss
Osteonecrosis,Bone Loss
Osteomyelitis,Fatigue
Bone Cancer,Fatigue
Osteonecrosis,Fatigue
Osteitis Pubis,Bone Infection
Osteochondritis,Bone Infection
Osteosarcoma,Bone Infection
Osteitis Pubis,Fever
Osteochondritis,Fever
Osteosarcoma,Fever
Osteitis Pubis,Night Sweats
Osteochondritis,Night Sweats
Osteosarcoma,Night Sweats
Lupus,Joint Pain
Rheumatoid Arthritis,Joint Pain
Sjogren's Syndrome,Joint Pain
Lupus,Fatigue
Rheumatoid Arthritis,Fatigue
Sjogren's Syndrome,Fatigue
Lupus,Rash
Rheumatoid Arthritis,Rash
Sjogren's Syndrome,Rash
Polymyositis,Muscle Weakness
Systemic Sclerosis,Muscle Weakness
Mixed Connective Tissue Disease,Muscle Weakness
Polymyositis,Joint Stiffness
Systemic Sclerosis,Joint Stiffness
Mixed Connective Tissue Disease,Joint Stiffness
Polymyositis,Dry Eyes
Systemic Sclerosis,Dry Eyes
Mixed Connective Tissue Disease,Dry Eyes
Crohn's Disease,Abdominal Pain
Ulcerative Colitis,Abdominal Pain
Behcet's Disease,Abdominal Pain
Crohn's Disease,Diarrhea
Ulcerative Colitis,Diarrhea
Behcet's Disease,Diarrhea
Crohn's Disease,Mouth Sores
Ulcerative Colitis,Mouth Sores
Behcet's Disease,Mouth Sores
Scleroderma,Chest Pain
Eosinophilic Esophagitis,Chest Pain
Systemic Lupus Erythematosus,Chest Pain
Scleroderma,Difficulty Swallowing
Eosinophilic Esophagitis,Difficulty Swallowing
Systemic Lupus Erythematosus,Difficulty Swallowing
Scleroderma,Acid Reflux
Eosinophilic Esophagitis,Acid Reflux
Systemic Lupus Erythematosus,Acid Reflux
Systemic Sclerosis,Skin Thickening
Rheumatoid Arthritis,Skin Thickening
Sarcoidosis,Skin Thickening
Systemic Sclerosis,Raynaud's Phenomenon
Rheumatoid Arthritis,Raynaud's Phenomenon
Sarcoidosis,Raynaud's Phenomenon
Systemic Sclerosis,Shortness of Breath
Rheumatoid Arthritis,Shortness of Breath
Sarcoidosis,Shortness of Breath
Rheumatoid Arthritis,Fever
Lupus,Fever
Psoriasis,Fever
Rheumatoid Arthritis,Joint Pain
Lupus,Joint Pain
Psoriasis,Joint Pain
Rheumatoid Arthritis,Rash
Lupus,Rash
Psoriasis,Rash
Crohn's Disease,Abdominal Pain
Ulcerative Colitis,Abdominal Pain
Irritable Bowel Syndrome,Abdominal Pain
Crohn's Disease,Diarrhea
Ulcerative Colitis,Diarrhea
Irritable Bowel Syndrome,Diarrhea
Crohn's Disease,Nausea
Ulcerative Colitis,Nausea
Irritable Bowel Syndrome,Nausea
Meningitis,Headache
Encephalitis,Headache
Lyme Disease,Headache
Meningitis,Stiff Neck
Encephalitis,Stiff Neck
Lyme Disease,Stiff Neck
Meningitis,Confusion
Encephalitis,Confusion
Lyme Disease,Confusion
Ankylosing Spondylitis,Swollen Joints
Sarcoidosis,Swollen Joints
Behcet's Disease,Swollen Joints
Ankylosing Spondylitis,Fatigue
Sarcoidosis,Fatigue
Behcet's Disease,Fatigue
Ankylosing Spondylitis,Weight Loss
Sarcoidosis,Weight Loss
Behcet's Disease,Weight Loss
Pulmonary Fibrosis,Chest Pain
Sarcoidosis,Chest Pain
Vasculitis,Chest Pain
Pulmonary Fibrosis,Difficulty Breathing
Sarcoidosis,Difficulty Breathing
Vasculitis,Difficulty Breathing
Pulmonary Fibrosis,Dry Cough
Sarcoidosis,Dry Cough
Vasculitis,Dry Cough
Rheumatoid Arthritis,Joint pain
Osteoarthritis,Joint pain
Gout,Joint pain
Lupus,Joint pain
Psoriatic Arthritis,Joint pain
Rheumatoid Arthritis,Swelling
Osteoarthritis,Swelling
Gout,Swelling
Lupus,Swelling
Psoriatic Arthritis,Swelling
Rheumatoid Arthritis,Stiffness
Osteoarthritis,Stiffness
Gout,Stiffness
Lupus,Stiffness
Psoriatic Arthritis,Stiffness
Juvenile Idiopathic Arthritis,Limited range of motion
Septic Arthritis,Limited range of motion
Ankylosing Spondylitis,Limited range of motion
Reactive Arthritis,Limited range of motion
Rheumatic Fever,Limited range of motion
Juvenile Idiopathic Arthritis,Joint deformity
Septic Arthritis,Joint deformity
Ankylosing Spondylitis,Joint deformity
Reactive Arthritis,Joint deformity
Rheumatic Fever,Joint deformity
Juvenile Idiopathic Arthritis,Redness
Septic Arthritis,Redness
Ankylosing Spondylitis,Redness
Reactive Arthritis,Redness
Rheumatic Fever,Redness
Fibromyalgia,Joint tenderness
Sjogren's Syndrome,Joint tenderness
Polymyalgia Rheumatica,Joint tenderness
Systemic Lupus Erythematosus,Joint tenderness
Osteoporosis,Joint tenderness
Fibromyalgia,Fatigue
Sjogren's Syndrome,Fatigue
Polymyalgia Rheumatica,Fatigue
Systemic Lupus Erythematosus,Fatigue
Osteoporosis,Fatigue
Fibromyalgia,Weight loss
Sjogren's Syndrome,Weight loss
Polymyalgia Rheumatica,Weight loss
Systemic Lupus Erythematosus,Weight loss
Osteoporosis,Weight loss
Osteoarthritis,Joint stiffness in the morning
Psoriatic Arthritis,Joint stiffness in the morning
Ankylosing Spondylitis,Joint stiffness in the morning
Rheumatoid Arthritis,Joint stiffness in the morning
Reactive Arthritis,Joint stiffness in the morning
Osteoarthritis,Bony enlargements
Psoriatic Arthritis,Bony enlargements
Ankylosing Spondylitis,Bony enlargements
Rheumatoid Arthritis,Bony enlargements
Reactive Arthritis,Bony enlargements
Osteoarthritis,Hesitant to move
Psoriatic Arthritis,Hesitant to move
Ankylosing Spondylitis,Hesitant to move
Rheumatoid Arthritis,Hesitant to move
Reactive Arthritis,Hesitant to move
Osteoarthritis,Difficulty walking
Gout,Difficulty walking
Bursitis,Difficulty walking
Osteoporosis,Difficulty walking
Lyme Disease,Difficulty walking
Osteoarthritis,Joint stiffness
Gout,Joint stiffness
Bursitis,Joint stiffness
Osteoporosis,Joint stiffness
Lyme Disease,Joint stiffness
Osteoarthritis,Joint instability
Gout,Joint instability
Bursitis,Joint instability
Osteoporosis,Joint instability
Lyme Disease,Joint instability
Asthma,Coughing
Chronic Bronchitis,Coughing
Pulmonary Fibrosis,Coughing
Asthma,Shortness of Breath
Chronic Bronchitis,Shortness of Breath
Pulmonary Fibrosis,Shortness of Breath
Asthma,Wheezing
Chronic Bronchitis,Wheezing
Pulmonary Fibrosis,Wheezing
Chronic Obstructive Pulmonary Disease (COPD),Chest Tightness
Lung Cancer,Chest Tightness
Tuberculosis,Chest Tightness
Chronic Obstructive Pulmonary Disease (COPD),Difficulty Breathing
Lung Cancer,Difficulty Breathing
Tuberculosis,Difficulty Breathing
Chronic Obstructive Pulmonary Disease (COPD),Chronic Cough
Lung Cancer,Chronic Cough
Tuberculosis,Chronic Cough
Pulmonary Tuberculosis,Fatigue
Sarcoidosis,Fatigue
Lung Cancer,Fatigue
Pulmonary Tuberculosis,Weight Loss
Sarcoidosis,Weight Loss
Lung Cancer,Weight Loss
Pulmonary Tuberculosis,Chronic Cough
Sarcoidosis,Chronic Cough
Lung Cancer,Chronic Cough
Lung Cancer,Chest Pain
Pulmonary Embolism,Chest Pain
Tuberculosis,Chest Pain
Lung Cancer,Difficulty Swallowing
Pulmonary Embolism,Difficulty Swallowing
Tuberculosis,Difficulty Swallowing
Lung Cancer,Hoarseness
Pulmonary Embolism,Hoarseness
Tuberculosis,Hoarseness
Pulmonary Embolism,Coughing up Blood
Lung Cancer,Coughing up Blood
Pneumonia,Coughing up Blood
Pulmonary Embolism,Shortness of Breath
Lung Cancer,Shortness of Breath
Pneumonia,Shortness of Breath
Pulmonary Embolism,Chest Pain
Lung Cancer,Chest Pain
Pneumonia,Chest Pain
Pancreatitis,Abdominal pain
Pancreatic Cancer,Abdominal pain
Acute Cholecystitis,Abdominal pain
Pancreatitis,Nausea
Pancreatic Cancer,Nausea
Acute Cholecystitis,Nausea
Pancreatitis,Vomiting
Pancreatic Cancer,Vomiting
Acute Cholecystitis,Vomiting
Pancreatitis,Jaundice
Pancreatic Cancer,Jaundice
Acute Cholecystitis,Jaundice
Pancreatic Cancer,Unexplained weight loss
Chronic Pancreatitis,Unexplained weight loss
Diabetes,Unexplained weight loss
Pancreatic Cancer,Loss of appetite
Chronic Pancreatitis,Loss of appetite
Diabetes,Loss of appetite
Pancreatic Cancer,Fatigue
Chronic Pancreatitis,Fatigue
Diabetes,Fatigue
Pancreatitis,Upper abdominal pain
Pancreatic Cancer,Upper abdominal pain
Peptic Ulcer Disease,Upper abdominal pain
Pancreatitis,Back pain
Pancreatic Cancer,Back pain
Peptic Ulcer Disease,Back pain
Pancreatitis,Indigestion
Pancreatic Cancer,Indigestion
Peptic Ulcer Disease,Indigestion
Biliary Tract Obstruction,Pale stools
Pancreatic Cancer,Pale stools
Alcoholic Liver Disease,Pale stools
Biliary Tract Obstruction,Dark urine
Pancreatic Cancer,Dark urine
Alcoholic Liver Disease,Dark urine
Biliary Tract Obstruction,Itchy skin
Pancreatic Cancer,Itchy skin
Alcoholic Liver Disease,Itchy skin
Pancreatitis,Diarrhea
Pancreatic Cancer,Diarrhea
Celiac Disease,Diarrhea
Pancreatitis,Fever
Pancreatic Cancer,Fever
Celiac Disease,Fever
Pancreatitis,Fatigue
Pancreatic Cancer,Fatigue
Celiac Disease,Fatigue
Pancreatitis,Weight loss
Pancreatic Cancer,Weight loss
Celiac Disease,Weight loss
Hypothyroidism,Weight gain
Graves' disease,Weight gain
Hashimoto's disease,Weight gain
Subacute thyroiditis,Weight gain
Thyroid cancer,Weight gain
Hypothyroidism,Fatigue
Graves' disease,Fatigue
Hashimoto's disease,Fatigue
Subacute thyroiditis,Fatigue
Thyroid cancer,Fatigue
Hypothyroidism,Dry skin
Graves' disease,Dry skin
Hashimoto's disease,Dry skin
Subacute thyroiditis,Dry skin
Thyroid cancer,Dry skin
Hypothyroidism,Constipation
Graves' disease,Constipation
Hashimoto's disease,Constipation
Subacute thyroiditis,Constipation
Thyroid cancer,Constipation
Hypothyroidism,Hair loss
Graves' disease,Hair loss
Hashimoto's disease,Hair loss
Subacute thyroiditis,Hair loss
Thyroid cancer,Hair loss
Hyperthyroidism,Weight loss
Graves' disease,Weight loss
Toxic adenoma,Weight loss
Thyroiditis,Weight loss
Thyrotoxicosis,Weight loss
Hyperthyroidism,Rapid heartbeat
Graves' disease,Rapid heartbeat
Toxic adenoma,Rapid heartbeat
Thyroiditis,Rapid heartbeat
Thyrotoxicosis,Rapid heartbeat
Hyperthyroidism,Tremors
Graves' disease,Tremors
Toxic adenoma,Tremors
Thyroiditis,Tremors
Thyrotoxicosis,Tremors
Hyperthyroidism,Insomnia
Graves' disease,Insomnia
Toxic adenoma,Insomnia
Thyroiditis,Insomnia
Thyrotoxicosis,Insomnia
Hyperthyroidism,Anxiety
Graves' disease,Anxiety
Toxic adenoma,Anxiety
Thyroiditis,Anxiety
Thyrotoxicosis,Anxiety
Goiter,Swelling in neck
Thyroid nodules,Swelling in neck
Thyroid cancer,Swelling in neck
Hashimoto's disease,Swelling in neck
Thyroiditis,Swelling in neck
Goiter,Difficulty swallowing
Thyroid nodules,Difficulty swallowing
Thyroid cancer,Difficulty swallowing
Hashimoto's disease,Difficulty swallowing
Thyroiditis,Difficulty swallowing
Goiter,Hoarse voice
Thyroid nodules,Hoarse voice
Thyroid cancer,Hoarse voice
Hashimoto's disease,Hoarse voice
Thyroiditis,Hoarse voice
Goiter,Cough
Thyroid nodules,Cough
Thyroid cancer,Cough
Hashimoto's disease,Cough
Thyroiditis,Cough
Goiter,Difficulty breathing
Thyroid nodules,Difficulty breathing
Thyroid cancer,Difficulty breathing
Hashimoto's disease,Difficulty breathing
Thyroiditis,Difficulty breathing
Polycystic ovary syndrome,Irregular menstrual periods
Hypothyroidism,Irregular menstrual periods
Turner syndrome,Irregular menstrual periods
Premature ovarian failure,Irregular menstrual periods
Hyperprolactinemia,Irregular menstrual periods
Polycystic ovary syndrome,Infertility
Hypothyroidism,Infertility
Turner syndrome,Infertility
Premature ovarian failure,Infertility
Hyperprolactinemia,Infertility
Polycystic ovary syndrome,Hair loss
Hypothyroidism,Hair loss
Turner syndrome,Hair loss
Premature ovarian failure,Hair loss
Hyperprolactinemia,Hair loss
Polycystic ovary syndrome,Cold intolerance
Hypothyroidism,Cold intolerance
Turner syndrome,Cold intolerance
Premature ovarian failure,Cold intolerance
Hyperprolactinemia,Cold intolerance
Polycystic ovary syndrome,Weight gain
Hypothyroidism,Weight gain
Turner syndrome,Weight gain
Premature ovarian failure,Weight gain
Hyperprolactinemia,Weight gain
Hypothyroidism,Depression
Depression,Depression
Chronic fatigue syndrome,Depression
Fibromyalgia,Depression
Vitamin B12 deficiency,Depression
Hypothyroidism,Memory problems
Depression,Memory problems
Chronic fatigue syndrome,Memory problems
Fibromyalgia,Memory problems
Vitamin B12 deficiency,Memory problems
Hypothyroidism,Fatigue
Depression,Fatigue
Chronic fatigue syndrome,Fatigue
Fibromyalgia,Fatigue
Vitamin B12 deficiency,Fatigue
Hypothyroidism,Dry skin
Depression,Dry skin
Chronic fatigue syndrome,Dry skin
Fibromyalgia,Dry skin
Vitamin B12 deficiency,Dry skin
Hypothyroidism,Constipation
Depression,Constipation
Chronic fatigue syndrome,Constipation
Fibromyalgia,Constipation
Vitamin B12 deficiency,Constipation
Urinary tract infection,Painful urination
Kidney stones,Painful urination
Bladder cancer,Painful urination
Urinary tract infection,Frequent urination
Kidney stones,Frequent urination
Bladder cancer,Frequent urination
Urinary tract infection,Blood in urine
Kidney stones,Blood in urine
Bladder cancer,Blood in urine
Appendicitis,Abdominal pain
Kidney infection,Abdominal pain
Acute pancreatitis,Abdominal pain
Appendicitis,Nausea
Kidney infection,Nausea
Acute pancreatitis,Nausea
Appendicitis,Vomiting
Kidney infection,Vomiting
Acute pancreatitis,Vomiting
Prostate enlargement,Difficulty urinating
Urinary retention,Difficulty urinating
Bladder prolapse,Difficulty urinating
Prostate enlargement,Urinary incontinence
Urinary retention,Urinary incontinence
Bladder prolapse,Urinary incontinence
Prostate enlargement,Weak urine stream
Urinary retention,Weak urine stream
Bladder prolapse,Weak urine stream
Pyelonephritis,Fever
Kidney abscess,Fever
Glomerulonephritis,Fever
Pyelonephritis,Chills
Kidney abscess,Chills
Glomerulonephritis,Chills
Pyelonephritis,Lower back pain
Kidney abscess,Lower back pain
Glomerulonephritis,Lower back pain
Urinary tract infection,Cloudy urine
Pelvic inflammatory disease,Cloudy urine
Cystitis,Cloudy urine
Urinary tract infection,Strong odor
Pelvic inflammatory disease,Strong odor
Cystitis,Strong odor
Urinary tract infection,Pelvic pain
Pelvic inflammatory disease,Pelvic pain
Cystitis,Pelvic pain
Muscular dystrophy,Muscle weakness
Amyotrophic lateral sclerosis,Muscle weakness
Myasthenia gravis,Muscle weakness
Muscular dystrophy,Loss of muscle mass
Amyotrophic lateral sclerosis,Loss of muscle mass
Myasthenia gravis,Loss of muscle mass
Muscular dystrophy,Difficulty walking
Amyotrophic lateral sclerosis,Difficulty walking
Myasthenia gravis,Difficulty walking
Fibromyalgia,Twitching muscles
Polymyalgia rheumatica,Twitching muscles
Myositis,Twitching muscles
Fibromyalgia,Cramping
Polymyalgia rheumatica,Cramping
Myositis,Cramping
Fibromyalgia,Stiffness
Polymyalgia rheumatica,Stiffness
Myositis,Stiffness
Rheumatoid arthritis,Muscle pain
Polymyositis,Muscle pain
Fibromyalgia,Muscle pain
Rheumatoid arthritis,Fatigue
Polymyositis,Fatigue
Fibromyalgia,Fatigue
Rheumatoid arthritis,Joint pain
Polymyositis,Joint pain
Fibromyalgia,Joint pain
Multiple sclerosis,Muscle spasms
Peripheral neuropathy,Muscle spasms
Myopathy,Muscle spasms
Multiple sclerosis,Numbness
Peripheral neuropathy,Numbness
Myopathy,Numbness
Multiple sclerosis,Tingling
Peripheral neuropathy,Tingling
Myopathy,Tingling
Myasthenia gravis,Difficulty swallowing
Stroke,Difficulty swallowing
Bell's palsy,Difficulty swallowing
Myasthenia gravis,Speech difficulties
Stroke,Speech difficulties
Bell's palsy,Speech difficulties
Myasthenia gravis,Facial drooping
Stroke,Facial drooping
Bell's palsy,Facial drooping
Influenza,Fever
Dengue,Fever
Zika,Fever
Chikungunya,Fever
Measles,Fever
Influenza,Headache
Dengue,Headache
Zika,Headache
Chikungunya,Headache
Measles,Headache
Influenza,Muscle aches
Dengue,Muscle aches
Zika,Muscle aches
Chikungunya,Muscle aches
Measles,Muscle aches
Influenza,Fatigue
Dengue,Fatigue
Zika,Fatigue
Chikungunya,Fatigue
Measles,Fatigue
Influenza,Nausea
Dengue,Nausea
Zika,Nausea
Chikungunya,Nausea
Measles,Nausea
Norovirus,Rash
Rotavirus,Rash
Hepatitis A,Rash
Mumps,Rash
Rubella,Rash
Norovirus,Joint pain
Rotavirus,Joint pain
Hepatitis A,Joint pain
Mumps,Joint pain
